geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-73.93102884224167 40.66868046959047),3-4,Utica Ave & Eastern Pkwy At Se Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.93545257786515 40.69685193407327),J-Z,Broadway & Myrtle Ave At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.95768699987525 40.71771933363146),L,Bedford Ave & N 7th St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.94991299999411 40.69996633201096),G,Union Ave & Flushing Ave At Ne Corner (To Queens Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.95234399890721 40.70662733227162),J-M,Hewes St & Broadway At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
POINT (-73.95144499803938 40.7137683339522),G-L,Union Ave & Metropolitan Ave At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
POINT (-73.94668799939623 40.70331333418702),J-M,Lorimer St & Broadway At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
POINT (-73.94223514739384 40.70059523065588),J-M,Flushing Ave & Broadway At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
POINT (-73.95190599950658 40.72547833294185),G,Manhattan Ave & Norman Ave At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.95092800193129 40.72381033210958),G,Manhattan Ave & Nassau Ave At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.94424800001079 40.71444933421255),L,Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.94089199996725 40.71203533278504),L,Grand St & Bushwick Ave At Ne Corner (To Canarsie Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.9319889995685 40.70623433459455),L,Morgan Ave & Harrison Pl At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.95441499879658 40.73227033388143),G,Manhattan Ave & India St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.92266300147229 40.66493233356616),3-4,Rutland Rd & E. 98th St At Ne Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.91534499820608 40.6616753335052),3-4,Saratoga Ave & Livonia Ave At Ne Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.90249800129047 40.64554533359943),L,Glenwood Rd & Rockaway Pkwy At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.92151692997334 40.67871429673853),A-C,Ralph Ave & Fulton St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.91376868305329 40.67859262433709),A-C,Hopkinson Ave & Fulton St At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.92156499991555 40.68906833164427),J-Z,Palmetto St & Broadway At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.9172950000136 40.68693333268985),J,Jefferson Ave & Broadway At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
POINT (-73.92294800031634 40.69014133240498),J-Z,Linden St & Broadway At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.90280546701854 40.67569802626433),L,Snediker Ave & New York Ave At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.89958599910177 40.67676933350229),J,Alabama Av & Fulton St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
POINT (-73.89666899941081 40.67423933226326),A-C,Pennsylvania Ave & Liberty Ave At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.90467903873439 40.68878759881985),L,Lirr Bay Ridge Divide & Wilson Ave At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
POINT (-73.89015300028416 40.67250633415435),A-C,Van Siclen Ave & Pitkin Ave At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.88328999675845 40.66628133228807),3-4,Ashford St & Livonia Av At Sw Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.88066499711297 40.67400133193887),A-C,Shepherd Ave & Pitkin Ave At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
